var1,var2,var3,T,E
0.59517,1.143472,1.5710790000000001,14.785651574800001,1
0.209325,0.184677,0.35698,7.33584583652,1
0.693919,0.071893,0.55796,5.26979701571,1
0.443804,1.3646459999999998,0.374221,11.6840920212,1
1.613324,0.125566,1.921325,7.63949212526,1
0.065636,0.098375,0.237896,12.6784581817,1
0.386294,1.6630919999999998,0.7903140000000001,6.601665720260001,1
0.946688,1.345394,3.209113,11.3670916491,1
0.11374000000000001,0.40986000000000006,0.064934,14.6805866317,1
0.7777930000000001,0.33499,0.411055,10.5854086595,1
0.04428,0.305158,0.17648,19.3721173864,1
1.03545,3.304733,0.997323,5.5590446698500005,1
0.22919499999999998,0.5813550000000001,0.48479399999999995,11.2924891948,1
0.055970000000000006,2.6741349999999997,0.355279,9.920474335289999,0
1.236583,1.796598,0.179952,9.88652411916,1
1.162835,0.46475900000000003,2.028854,6.266433012569999,1
0.14943599999999999,2.949291,0.277801,13.8127296,1
0.399475,0.822413,0.673405,6.43309776107,1
0.762121,0.050407,1.2851629999999998,6.97979741031,1
1.239718,1.869215,0.020202,7.74300832502,1
0.019221000000000002,1.435543,0.255689,4.70530329608,1
0.090253,0.211037,0.372809,11.233584164100002,1
0.20584899999999998,0.048722,0.00253,6.66273101972,1
0.088185,1.319679,0.201675,10.717413731799999,1
4.629747,0.36352199999999996,1.08207,11.593804753299999,1
1.6028360000000001,1.217881,0.350837,8.46420655566,1
0.014804,0.684737,0.493267,5.432558558409999,1
0.08402000000000001,1.432093,0.456541,10.276593667,1
2.260223,1.2389299999999999,5.541837999999999,7.21736226987,1
0.6219680000000001,0.6844279999999999,0.135933,13.2176584654,1
0.013219999999999999,3.280555,1.193551,8.0299335416,1
0.070651,1.430517,0.0052049999999999996,9.808268048739999,1
0.20598000000000002,0.29064,0.096565,2.6322637591099998,1
1.389882,0.14313299999999998,0.821257,6.16269524116,1
0.104143,2.072924,0.449696,6.26182607469,1
0.42848100000000006,0.06573899999999999,3.00755,4.6048190363999995,0
1.785151,1.572282,0.475059,11.123907792799999,1
0.22889299999999999,0.429025,0.60805,6.0826325391100005,1
0.640837,0.311084,3.165658,9.22065563383,1
1.450683,0.8470219999999999,2.5211770000000002,7.120128912819999,0
